material,size,price
Ford 80,A4,8000
Ford 180,A4,12000
Ford 250,A4,12000
Ford 300,A4,15000
Couche 150,A4,12000
Couche 200,A4,12000
Couche 250,A4,12000
Couche 300,A4,15000
Canson 250,A4,15000
Gân trắng 250,A4,20000
Gân vàng 280,A4,15000
Ivory 300,A4,20000
Giấy ảnh 250,A4,15000
Ford 80,A3,14000
Ford 180,A3,24000
Ford 250,A3,24000
Ford 300,A3,30000
Couche 150,A3,24000
Couche 200,A3,24000
Couche 250,A3,24000
Couche 300,A3,30000
Canson 250,A3,30000
Gân trắng 250,A3,34000
Gân vàng 280,A3,30000
Ivory 300,A3,34000
Giấy ảnh 250,A3,30000
Decal Nhựa,A4,20000
Decal Trong,A4,20000
Decal Giấy Ford,A4,15000
Decal Giấy Ảnh,A4,15000
Decal Giấy Couche,A4,15000
